name;risk
0000001.jpg;0,014047426
0000003.jpg;0,940520972
0000004.jpg;0,430295355
0000005.jpg;0,061406067
0000007.jpg;0,272908358
0000010.jpg;0,541447611
0000013.jpg;0,930460068
0000015.jpg;0,058974563
0000021.jpg;0,279326332
0000022.jpg;0,271487848
0000024.jpg;0,561773486
0000025.jpg;0,116056498
0000033.jpg;0,226707413
0000034.jpg;0,675735153
0000037.jpg;0,772544781
0000039.jpg;0,188557437
0000040.jpg;0,001063798
0000042.jpg;0,291231241
0000044.jpg;0,290384158
0000048.jpg;0,072981603
0000054.jpg;0,181735838
0000057.jpg;0,468427941
0000058.jpg;0,022980118
0000062.jpg;0,327506835
0000063.jpg;0,474195159
0000072.jpg;0,458511941
0000079.jpg;0,016344002
0000080.jpg;0,78740102
0000081.jpg;0,474947257
0000083.jpg;0,351525682
0000085.jpg;0,587348889
0000092.jpg;0,255195765
0000093.jpg;0,297763288
0000100.jpg;0,251856431
0000103.jpg;0,755087111
0000106.jpg;0,852415189
0000107.jpg;0,334441084
0000110.jpg;0,921005614
0000113.jpg;0,253461922
0000118.jpg;0,257483846
0000121.jpg;0,116394645
0000122.jpg;0,043195564
0000127.jpg;0,908696905
0000131.jpg;0,933675329
0000133.jpg;0,23880166
0000140.jpg;0,083296034
0000145.jpg;0,032395133
0000146.jpg;0,994840056
0000148.jpg;0,497900394
0000152.jpg;0,081614303
0000153.jpg;0,93070425
0000154.jpg;0,861005666
0000166.jpg;0,173301854
0000167.jpg;0,926321463
0000172.jpg;0,90875236
0000174.jpg;0,451657815
0000176.jpg;0,437812473
0000178.jpg;0,728783682
0000179.jpg;0,322884831
0000180.jpg;0,264893585
0000184.jpg;0,877903192
0000188.jpg;0,181327719
0000189.jpg;0,70159708
0000191.jpg;0,779324519
0000192.jpg;0,294367859
0000194.jpg;0,74643819
0000201.jpg;0,814225331
0000202.jpg;0,856719396
0000206.jpg;0,729928152
0000210.jpg;0,263804229
0000214.jpg;0,830320857
0000215.jpg;0,114236262
0000219.jpg;0,09383995
0000220.jpg;0,121130816
0000221.jpg;0,809840532
0000224.jpg;0,650554064
0000229.jpg;0,492972026
0000230.jpg;0,491870684
0000237.jpg;0,540117638
0000241.jpg;0,088940714
0000244.jpg;0,615214005
0000246.jpg;0,308547521
0000250.jpg;0,109201922
0000252.jpg;0,30365455
0000258.jpg;0,192534675
0000261.jpg;0,877408408
0000263.jpg;0,96859476
0000269.jpg;0,890571463
0000274.jpg;0,629135326
0000281.jpg;0,149381395
0000284.jpg;0,408667009
0000287.jpg;0,116072331
0000292.jpg;0,794267855
0000293.jpg;0,103480396
0000294.jpg;0,061594106
0000295.jpg;0,455331096
0000296.jpg;0,307769981
0000299.jpg;0,389935854
0000302.jpg;0,108582237
0000304.jpg;0,072852891
0000305.jpg;0,862059504
0000306.jpg;0,899566405
0000309.jpg;0,677584666
0000317.jpg;0,76227146
0000318.jpg;0,640251232
0000321.jpg;0,867739901
0000331.jpg;0,267424957
0000334.jpg;0,462458753
0000335.jpg;0,480491664
0000336.jpg;0,476271926
0000337.jpg;0,636841738
0000339.jpg;0,491690555
0000345.jpg;0,556841713
0000346.jpg;0,598798268
0000352.jpg;0,295720462
0000353.jpg;0,071691751
0000355.jpg;0,07337547
0000356.jpg;0,527329727
0000358.jpg;0,254232817
0000361.jpg;0,448058143
0000362.jpg;0,734673932
0000382.jpg;0,394850493
0000385.jpg;0,998667441
0000390.jpg;0,235127981
0000394.jpg;0,242065404
0000401.jpg;0,392015542
0000402.jpg;0,318364812
0000406.jpg;0,724417831
0000408.jpg;0,186172499
0000409.jpg;0,012170887
0000410.jpg;0,575893901
0000412.jpg;0,463355413
0000413.jpg;0,727232324
0000414.jpg;0,118020757
0000417.jpg;0,495017405
0000418.jpg;0,236441282
0000421.jpg;0,238902816
0000422.jpg;0,63843711
0000432.jpg;0,465525588
0000433.jpg;0,416291614
0000437.jpg;0,661178726
0000439.jpg;0,442798067
0000440.jpg;0,565473833
0000441.jpg;0,975085489
0000451.jpg;0,068314214
0000452.jpg;0,638308939
0000459.jpg;0,485350831
0000465.jpg;0,106372284
0000468.jpg;0,940751815
0000470.jpg;0,198599181
0000472.jpg;0,424301871
0000473.jpg;0,676155417
0000479.jpg;0,843609074
0000480.jpg;0,271045902
0000495.jpg;0,633968467
0000498.jpg;0,35374524
0000506.jpg;0,815334132
0000507.jpg;0,225747713
0000508.jpg;0,125445959
0000509.jpg;0,85635547
0000514.jpg;0,78992536
0000515.jpg;0,796168741
0000516.jpg;0,212783244
0000522.jpg;0,238169772
0000524.jpg;0,688110649
0000525.jpg;0,464132828
0000526.jpg;0,995034496
0000528.jpg;0,318349952
0000534.jpg;0,054626131
0000538.jpg;0,715145899
0000539.jpg;0,797305221
0000540.jpg;0,946085212
0000544.jpg;0,667903141
0000548.jpg;0,57281718
0000554.jpg;0,945301091
0000558.jpg;0,814239832
0000559.jpg;0,123251275
0000563.jpg;0,000174223
0000564.jpg;0,452795656
0000566.jpg;0,423220405
0000569.jpg;0,7305991
0000574.jpg;0,065227932
0000582.jpg;0,028679899
0000584.jpg;0,494469033
0000585.jpg;0,301643927
0000586.jpg;0,872402556
0000587.jpg;0,89495238
0000594.jpg;0,96525543
0000596.jpg;0,336142754
0000597.jpg;0,678224921
0000600.jpg;0,9164508
0000602.jpg;0,680286095
0000605.jpg;0,048446308
0000608.jpg;0,751854755
0000612.jpg;0,85129816
0000614.jpg;0,23242472
0000615.jpg;0,008055348
0000616.jpg;0,082516274
0000618.jpg;0,408574409
0000619.jpg;0,399246952
0000620.jpg;0,451338874
0000625.jpg;0,983978275
0000627.jpg;0,98928949
0000629.jpg;0,492876889
0000631.jpg;0,778774244
0000633.jpg;0,374292631
0000635.jpg;0,540282384
0000638.jpg;0,838075216
0000643.jpg;0,573356599
0000645.jpg;0,922690034
0000646.jpg;0,622744205
0000654.jpg;0,968941357
0000660.jpg;0,237868231
0000665.jpg;0,079736561
0000666.jpg;0,591899558
0000667.jpg;0,171108031
0000668.jpg;0,741800015
0000674.jpg;0,344813894
0000677.jpg;0,372599195
0000680.jpg;0,967975989
0000687.jpg;0,597933509
0000692.jpg;0,670255023
0000695.jpg;0,270304145
0000698.jpg;0,92775726
0000699.jpg;0,261740857
0000701.jpg;0,431597591
0000702.jpg;0,103570967
0000704.jpg;0,83674754
0000705.jpg;0,685754776
0000706.jpg;0,296951596
0000716.jpg;0,527199633
0000720.jpg;0,814545558
0000722.jpg;0,650130617
0000723.jpg;0,648366694
0000725.jpg;0,614059445
0000727.jpg;0,382199447
0000730.jpg;0,334474673
0000733.jpg;0,333050336
0000738.jpg;0,707937353
0000744.jpg;0,030694962
0000748.jpg;0,020143518
